abase,babble,cabbage,dabble,earmark,face,gabble,hack,identify,jabber,kayak,labor,macerate,nadire,obey,pacify,quadruple,race,sack,taboo,ululate,vacation,waddle,yak,zap
abash,babysit,cable,dally,earn,facilitate,gag,had-better,identify-with,jack,kayo,labour,machinate,nag,obfuscate,pack,quaff,rack,sacrifice,tabulate,umpire,vaccinate,wade,yammer,zero
abate,back,cache,dam,ease,factor,gain,hafta,identity,jade,keen,lace,madden,nail,object,package,quail,racket,sadden,tack,unban,vacillate,waffle,yank,zest
abbreviate,back-off,cackle,damage,eat,factor-out,gall,haggle,idle,jail,keep,lacerate,magnetize,name,objectify,pad,quake,radiate,saddle,tack-on,unbend,vacuum,waft,yap,zig
abdicate,back-out,caddy,damn,eavesdrop,fade,gallivant,hail,idolize,jam,keep-vpc,lack,magnify,name-drop,obligate,paddle,qualify,radio,safeguard,tackle,unblock,valet,wag,yaw,zigzag
abduct,backbite,cadge,damp,ebb,fail,gallop,hallucinate,ignite,jangle,keep-away,lacquer,mail,namedrop,oblige,paddywhack,quantify,raft,sag,tag,unbolt,validate,wage,yawn,zing
abet,backfill,cage,dampen,echo,faint,galvanize,halt,ignore,japan,keep-down,lactate,maim,nance,obliterate,padlock,quantitate,rafter,sail,tag-along,unbuckle,value,wager,yearn,zip
abhor,backfire,cajole,dance,eclipse,fake,gamble,halter,illuminate,japanize,keep-on,ladder,mainstream,nap,obscure,page,quantize,rag,salaam,tail,unburden,vamoose,waggle,yell,zipcode
abide,backflip,cake,dandle,economize,fall,gambol,halve,illumine,jar,keep-up,lade,maintain,narrate,observe,pain,quarantine,rage,salivate,tailgate,unbutton,vamp,wail,yellow,zone
abide-((by)),backpack,calcify,dangle,eddy,fall-(on),gang-together,ham,illustrate,jeep,kennel,ladle,major,narrow,obsess,paint,quarrel,raid,sally,tailor,uncap,vandalise,wait,yelp,zonk-out
abnegate,backpedal,calculate,dapple,edge,fall-(upon),gape,hammer,image,jeer,key,lag,make,nasal,obstruct,pair,quarry,rail,salt,taint,unchain,vandalize,wait-tables,yen,
abolish,backslap,calibrate,dare,edify,falsify,garage,hamper,imagine,jell,ki-yi,lam,make-vpc,nasalize,obtain,palaver,quarter,railroad,salute,taiwanize,unclamp,vanish,waitress,yield,
abominate,backtrack,calk,darken,edit,falter,garb,hamstring,imbed,jeopardise,kick,lamb,make-(someone's)-acquaintance,nationalize,obviate,pale,quash,rain,salvage,take,unclasp,vanquish,waive,yip,
abort,badger,call,darn,editorialize,fame,garble,hand,imbibe,jeopardize,kick-off,lambaste,make-a-beeline,natter,occasion,pall,quaver,raise,salve,take-place,unclip,vaporize,wake,yodel,
abound,badmouth,call-forth,dart,educate,familiarize,garden,hand-count,imbue,jerk,kick-the-bucket,lament,make-it,naturalize,occlude,palliate,quell,rake,samba,take-shape,unclog,varnish,wake-up,yoke,
about-face,baffle,call-in,dash,eek,famish,garland,hand-deliver,imitate,jest,kid,laminate,make-out,nauseate,occult,palm,quench,rally,sample,take-vpc,unclothe,vary,waken,yowl,
abrade,bag,call-to-mind,date,efface,fan,garner,hand-paint,immerse,jet,kidnap,lampoon,make-up,navigate,occupy,palm-off,query,ram,sanctify,take-((picture)),uncoil,vaticinate,walk,,
abridge,baidu,call-up,daub,effect,fanaticize,garnish,hand-in,immigrate,jettison,kill,lance,malign,naysay,occur,palpate,quest,ramble,sanction,take-a-chance,uncork,vault,walk-through,,
absent,bail,calm,daunt,effectuate,fancy,garrotte,hand-out,immobilize,jibe,kindle,land,man,near,off,palpitate,question,ramify,sand,take-a-piss,uncover,vaunt,wall,,
absolve,bait,calm-down,dawdle,effeminate,fantasize,gas,hand-over,immolate,jig,kip,landfill,manacle,neaten,offend,pamper,queue,ramp,sandbag,take-apart,underbid,veer,wallop,,
absorb,bake,calumniate,dawn,effervesce,fare,gash,handcuff,immortalize,jiggle,kiss,landscape,manage,nebulize,offer,pan,quibble,ranch,sandpaper,take-break,undercharge,vegetate,wallow,,
abstain,balance,calve,daze,effuse,farm,gasify,handdeliver,immunize,jilt,kitten,lane,mandate,necessitate,officiate,pan-broil,quicken,randomize,sandwich,take-hold,undercut,veil,wallpaper,,
abstract,balk,camouflage,dazzle,egg-on,farm-(out),gasp,handfeed,immunocompromise,jingle,knead,languish,maneuver,neck,offload,pan-fry,quickstep,range,sanitize,take-off,underestimate,vein,waltz,,
abuse,balkanize,camp,de-escalate,ejaculate,fart,gate,handicap,immure,jinx,knee,lap,mangle,necrotize,offset,pander,quiet,rank,sap,take-on,underfeed,vend,wander,,
abut,ball,campaign,de-nuclearize,eject,fascinate,gather,handle,impact,jitterbug,kneel,lapse,manhandle,need,ogle,panel,quiet-down,rankle,saponify,take-over,undergo,veneer,wane,,
accede,ball-up,campaign-manage,deaccent,eke,fashion,gauge,handpaint,impair,jive,kneel-down,lard,manicure,needle,oil,panhandle,quieten,ransack,sashay,take-part,underinflate,venerate,wangle,,
accelerate,balloon,can,deactivate,elaborate,fast,gawk,handpick,impale,job,kneel-up,lash,manifest,negate,oink,panic,quilt,rant,satellite,take-place,underlay,vent,want,,
accent,ballyhoo,cancan,deaden,elapse,fasten,gaze,hang,impart,jockey,knell,lasso,manipulate,neglect,ok,pant,quip,rap,satiate,take-shape,underlie,ventilate,wanton,,
accentuate,bamboozle,cancel,deadlock,elate,fate,gear,hang-((on)),impeach,jog,knife,last,manoeuvre,negotiate,okay,paper,quirk,rape,satirize,take-to-task,underline,venture,war,,
accept,ban,candy,deafen,elbow,father,gear-up,hangar,impede,joggle,knight,latch,mantle,neigh,omit,parachute,quit,rarefy,satisfy,take-up,undermine,verbalize,warble,,
access,band,cane,deal,elect,fathom,gel,hanker,impel,join,knit,lather,manufacture,neighbor,ooh,parade,quiver,rasp,saturate,talc,underperform,verge,ward,,
accessorize,band-together,cannulate,debark,electrify,fatigue,gelatinize,happen,impend,joke,knock,laud,manure,neighbour,ooze,paragraph,quiz,rat,sauce,talk,underpin,verify,warehouse,,
acclaim,bandage,canoe,debase,electrocute,fatten,geminate,happen-(on),imperil,jollify,knock-down,laugh,map,nest,opacify,parallel,quote,rat-out,saunter,tally,underprice,verse,warm,,
accommodate,bandy,canonize,debate,electroplate,fault,generalize,harangue,impersonate,jolt,knock-off,launch,mar,nestle,open,paralyze,,ratchet,saute,tally-up,underreact,vest,warm-up,,
accompany,bang,canter,debauch,elevate,favor,generate,harass,impinge,jostle,knock-out,launder,march,net,open-up,paraphrase,,rate,save,tame,underscore,vet,warmonger,,
accomplish,banish,canvass,debilitate,elicit,favour,gentle,harbor,implant,jot,knot,lave,marginalize,netmail,operate,parboil,,ratify,savor,tamp,undersell,veto,warn,,
accord,bank,cap,debit,eliminate,fawn,gentrify,harbour,implement,jot-down,know,lavish,marinate,nettle,opine,parcel,,ration,savour,tamper,understand,vex,warp,,
account,bank-(on),capacitate,debone,elongate,fax,genuflect,hardboil,implicate,jounce,konk-out,lawyer,mark,network,oppose,parch,,rationalize,savvy,tan,understate,vibrate,warrant,,
accredit,bankroll,caper,debowel,elucidate,faze,germanize,harden,implore,journey,kowtow,lay,market,neutralize,oppress,pardon,,rattle,saw,tangle,understudy,victimize,wash,,
accrete,bankrupt,capitalize,debride,elude,fear,germinate,harm,imply,joust,,lay-vpc,marry,nibble,opt,pare,,ravage,say,tango,undertake,videotape,waste,,
accrue,banquet,capitulate,debug,emaciate,feast,gestate,harmonize,import,judder,,lay-(into),marry-(into),nick,optimize,park,,rave,scald,tank,underuse,vie,watch,,
accumulate,banter,capsize,debunk,email,feather,gesticulate,harness,importune,judge,,lay-off,marshal,nickel,orbit,parlay,,ravish,scale,tantalize,underutilize,view,water,,
accurse,baptize,captain,debur,emanate,feature,gesture,harp,impose,jug,,lay-waste,martyr,nickname,orchestrate,parley,,raze,scallop,tap,undervalue,vilify,wave,,
accuse,bar,caption,deburr,emancipate,federalize,get,harry,impound,juggle,,layer,marvel,niggle,ordain,parody,,re-case,scalp,tapdance,underweight,vindicate,waver,,
accustom,barb,captivate,debus,emasculate,federate,get-vpc,harshen,impoverish,jumble,,layover,mash,nip,order,parole,,re-create,scam,tape,underwrite,violate,wax,,
ace,barbecue,capture,debut,embalm,fedex,get-across,harvest,imprecate,jump,,leach,mask,nip-in-the-bud,organize,parquet,,re-debate,scamper,taper,undo,visit,weaken,,
acetify,barbeque,caramelize,decamp,embargo,feed,get-around,hash,impregnate,junk,,lead,masquerade,nitrify,orient,parrot,,re-elect,scan,tar,undress,visualize,wean,,
ache,bare,caravan,decant,embark,feel,get-away,hasten,impress,junket,,lead-(to),mass,nobble,originate,parry,,re-emerge,scandalize,target,undulate,vitiate,weaponize,,
achieve,barf,carbonify,decapitate,embarrass,feel-like,get-back,hat,imprint,justify,,leaf,mass-produce,nod,ornament,part,,re-emphasize,scant,tarmac,unearth,vitrify,wear,,
acidify,bargain,carbonize,decay,embattle,feign,get-by,hatch,imprison,jut,,leak,massacre,nod-off,orphan,partake,,re-employ,scape,tarnish,unfasten,vocalize,weary,,
acknowledge,barge,care,decease,embed,feint,get-down,hate,improve,,,lean,massage,nominate,oscillate,participate,,re-enact,scapegoat,tarry,unfix,vociferate,weasel,,
acquaint,bark,careen,deceive,embellish,felicitate,get-even,haul,improvise,,,leap,master,non-circled,osculate,partition,,re-engage,scar,tart-up,unfold,voice,weasel-out,,
acquiesce,barnstorm,caress,decelerate,embezzle,fell,get-free,haunt,impugn,,,leapfrog,mastermind,nonplus,ossify,partner,,re-enter,scare,task,unfreeze,void,weather,,
acquire,barrack,caricature,december,embitter,feminize,get-going,have,inactivate,,,learn,masticate,normalize,ostracize,party,,re-evaluate,scarf,tassel,unfurl,volatilize,weave,,
acquit,barrel,carjack,decentralize,emblazon,fence,get-in-touch,have-feeling,inaugurate,,,lease,masturbate,nose,ought-to,pass,,re-export,scarify,taste,unglue,volley,wed,,
act,barricade,carol,decide,embody,fend,get-loose,have-got,incandesce,,,leash,match,nose-dive,oughta,pass-vpc,,re-fight,scarper,tatter,unhinge,volunteer,wedge,,
